MMM;3M Co.
AOS;A. O. Smith Corp.
ABT;Abbott Laboratories
ABBV;AbbVie, Inc.
AFL;Aflac, Inc.
APD;Air Products & Chemicals, Inc.
ADM;Archer-Daniels-Midland Co.
T;AT&T, Inc.
ADP;Automatic Data Processing, Inc.
BDX;Becton, Dickinson & Co.
BF.B;Brown-Forman Corp.
CAH;Cardinal Health, Inc.
CAT;Caterpillar, Inc.
CB;Chubb Ltd.
CVX;Chevron Corp.
CINF;Cincinnati Financial Corp.
CTAS;Cintas Corp.
CLX;The Clorox Co.
KO;The Coca-Cola Co.
CL;Colgate-Palmolive Co.
ED;Consolidated Edison, Inc.
DOV;Dover Corp.
ECL;Ecolab, Inc.
EMR;Emerson Electric Co.
XOM;Exxon Mobil Corp.
FRT;Federal Realty Investment Trust
BEN;Franklin Resources, Inc.
GD;General Dynamics Corp.
GPC;Genuine Parts Co.
HRL;Hormel Foods Corp.
ITW;Illinois Tool Works, Inc.
JNJ;Johnson & Johnson
KMB;Kimberly-Clark Corp.
LEG;Leggett & Platt, Inc.
LIN;Linde Plc
LOW;Lowe's Cos., Inc.
MKC;McCormick & Co., Inc.
MCD;McDonald's Corp.
MDT;Medtronic Plc
NUE;Nucor Corp.
PBCT;People's United Financial, Inc.
PNR;Pentair Plc
PEP;PepsiCo, Inc.
PPG;PPG Industries, Inc.
PG;Procter & Gamble Co.
ROP;Roper Technologies, Inc.
SPGI;S&P Global, Inc.
SHW;The Sherwin-Williams Co.
SWK;Stanley Black & Decker, Inc.
SYY;Sysco Corp.
TROW;T. Rowe Price Group, Inc.
TGT;Target Corp.
UTX;United Technologies Corp.
VFC;VF Corp.
GWW;W.W. Grainger, Inc.
WMT;Walmart, Inc.
WBA;Walgreens Boots Alliance, Inc.
AMCR;Amcor Plc
ATO;Atmos Energy Corp.
O;Realty Income Corp.
ESS;Essex Property Trust, Inc.
ROST;Ross Stores, Inc.
ALB;Albemarle Corp.
EXPD;Expeditors International of Washington, Inc.